"","ID_square","Date_prelvt","Habitat","ID_plot","ID_traps","OF","pesticide","dose","trt"
"1",10902,"05/04/2016","C",7216,"10902C","n","EPX",5.113636364,"nt"
"2",10902,"05/04/2016","C",7216,"10902C","n","DFL",0.465178097,"tt"
"3",10902,"05/04/2016","C",7216,"10902C","n","IMD",8.938064859,"tt"
"4",11188,"01/04/2016","C",7855,"11188C","n","EPX",119.038585,"nt"
"5",11188,"01/04/2016","C",7855,"11188C","n","DFL",3.523847589,"tt"
"6",11188,"01/04/2016","C",7855,"11188C","n","IMD",57.17759126,"tt"
"7",11195,"01/04/2016","C",7795,"11195C","n","EPX",2.826666667,"nt"
"8",11195,"01/04/2016","C",7795,"11195C","n","DFL",0,"tt"
"9",11195,"01/04/2016","C",7795,"11195C","n","IMD",4.696666667,"tt"
"10",11759,"05/04/2016","C",15845,"11759C","n","EPX",0,"nt"
"11",11759,"05/04/2016","C",15845,"11759C","n","DFL",13.80364023,"tt"
"12",11759,"05/04/2016","C",15845,"11759C","n","IMD",0,"tt"
"13",14993,NA,"C",10542,"14993C","n","EPX",8.290034639,"nt"
"14",14993,NA,"C",10542,"14993C","n","DFL",0,"tt"
"15",14993,NA,"C",10542,"14993C","n","IMD",10.73,"tt"
"16",15381,"29(V)+30(S)/03/2016","C",10624,"15381C","n","EPX",117.8585697,"nt"
"17",15381,"29(V)+30(S)/03/2016","C",10624,"15381C","n","DFL",587.8279398,"tt"
"18",15381,"29(V)+30(S)/03/2016","C",10624,"15381C","n","IMD",30.24703689,"tt"
"19",18147,"29/03/2016","C",11809,"18147C","n","EPX",56.66001331,"nt"
"20",18147,"29/03/2016","C",11809,"18147C","n","DFL",0,"tt"
"21",18147,"29/03/2016","C",11809,"18147C","n","IMD",2.854291417,"tt"
"22",19147,"29/03/2016","C",12076,"19147C","n","EPX",43.01279488,"nt"
"23",19147,"29/03/2016","C",12076,"19147C","n","DFL",0.253232041,"tt"
"24",19147,"29/03/2016","C",12076,"19147C","n","IMD",7.467013195,"tt"
