species_code	species.name	family	genus	maximum_length	maximal.width	maximal_weight	body_shape	prostomium_shape	flat_tail	heart_position	heart_size	body_color	longitudinal_color_gradient	transversal_color_gradient	epidermis_thickness	epidermis_smoothness	mucus_quantity	muscle_type	septa_thickness	longitudinal_furrows	transverse_furrows	male_pores_position	setae_proximity	crop_presence	Morren_gland_presence	typhlosole_location	typhlosole_complexity	clitellum_shape	clitellum_location	clitellum_size	flat_clitellum	ovaries_position	tubercula_shape	tubercula_presence	seminal_vesicles_complexity	seminal_vesicles_location	spermathecal_pore_size	female_pore_location	spermathecal_pore_location	spermathecal_pore_area	gonad_presence	nephridiopore_distribution		
vt0002	Microscolex.phosphoreus	Acanthodrilidae	Microscolex	18	1.5	20	cylindrique	épilobique	0	10	3	non	0	0	2	1	0	élémentaire	0	0	0	0	1	0	0	0	0	anneau	13	5	0	13	absents	0	1	8	3	14.17	17.5	A	1	alignés		
vt0003	Microscolex.dubius	Acanthodrilidae	Microscolex	70	2.5	400	cylindrique	épilobique	0	10	3	mélanisé	0	0	3	1	0	élémentaire	2.5	0	0	0	1	0	0	0	0	anneau	13	5	0	13	absents	0	0	0	0	14.5	17.5	A	1	alignés		
vt0004	Hormogaster.pretiosa	Hormogastridae	Hormogaster	380	13	15000	quadrangulaire	épilobique	0	6	5	mélanisé	0	0	3	1	1	radiaire	3.8	1	1	0	0	1	0	19.5	3	selle	15	15	1	13	gouttière	1	1	8	3	14.5	15.75	B	1	alignés		
vt0005	Hormogaster.samnitica	Hormogastridae	Hormogaster	150	8	3800	cylindrique	prolobique	1	6	5	rubifié	0	0	3	1	0	intermédiaire	5	1	1	0	0	1	0	24	3	selle	13.5	11.5	1	13	non.différenciés	0	3	9	1	14.5	15.5	B	1	alignés		
vt0006	Hemigastrodrilus.monicae	Hormogastridae	Hemigastrodrilus	100	6	1815	cylindrique	épilobique	0	10	2	rubifié	0	0	1	1	0	élémentaire	5	1	1	0	0	1	1	16.5	3	selle	13.5	10	1	13	gouttière	1	1	12	3	14.5	15.5	B	1	alignés		
vt0007	Allolobophora.chlorotica	Lumbricidae	Allolobophora	80	7	700	cylindrique	épilobique	0	6	5	viridisé	1	1	2	1	1	radiaire	5	0	1	4.5	0	0	1	20	2	selle	29.5	8	1	13	bandelette	1	1	9	2	14.5	15.5	B	1	alignés		
vt0011	Aporrectodea.icterica	Lumbricidae	Aporrectodea	90	4	1200	cylindrique	épilobique	0	6	5	non	0	0	2	1	1	intermédiaire	4	0	1	4.5	0	0	1	19	2	selle	34	10	0	13	bande	1	1	9	2	14.5	15.5	B	1	alignés		
vt0012	Eiseniella.tetraedra	Lumbricidae	Eiseniella	60	3.5	150	quadrangulaire	épilobique	0	7	5	mélanisé	1	1	2	3	0	pennée	2	0	1	4.5	0	0	1	21	1	selle	23	4	0	13	bande	1	1	10	2	14.5	13.5	B	1	alignés		
vt0013	Octolasion.lacteum	Lumbricidae	Octolasion	160	5	1200	cylindrique	épilobique	0	6	5	non	0	0	3	3	0	pennée	3	0	1	9.5	0	0	1	23	2	selle	30	6	1	13	gouttière	1	1	10	3	14.5	15.5	B	1	alignés		
vt0015	Octolasion.cyaneum	Lumbricidae	Octolasion	140	8	2500	cylindrique	prolobique	1	6	5	non	0	0	3	3	0	pennée	2.75	0	1	9.5	0	0	1	20	2	selle	29	6	1	13	gouttière	1	1	10	3	14.5	15.5	B	1	alignés		
vt0016	Aporrectodea.terrestris	Lumbricidae	Aporrectodea	250	7	3150	subtrapézoïdale	épilobique	1	6	5	mélanisé	1	1	3	3	0	pennée	4	0	1	11.5	0	0	1	22.5	2	selle	27	9	1	13	lunettes	1	1	10	3	14.5	15.5	B	1	solfege		
vt0020	Aporrectodea.longa	Lumbricidae	Aporrectodea	170	8	3800	subtrapézoïdale	épilobique	1	6	5	mélanisé	1	1	2	3	0	pennée	5	0	1	12.5	0	0	1	19	2	selle	28	8	1	13	gouttière	1	1	10	3	14.5	15.5	B	1	solfege		
vt0022	Aporrectodea.caliginosa	Lumbricidae	Aporrectodea	180	5	2650	subtrapézoïdale	épilobique	1	6	5	mélanisé	1	1	1	3	0	pennée	3	0	1	9.5	0	0	1	18	2.5	selle	28	7	0	13	lunettes	1	1	10	3	14.5	15.5	B	1	solfege		
vt0023	Aporrectodea.balisa	Lumbricidae	Aporrectodea	350	9	12000	subtrapézoïdale	épilobique	1	6	5	mélanisé	1	1	2	3	0	pennée	6	0	1	11.5	0	0	1	24	2	selle	27	9	0	13	bande	1	1	10	3	14.5	15.5	B	1	solfege		
vt0027	Aporrectodea.arverna	Lumbricidae	Aporrectodea	100	6	1350	subtrapézoïdale	épilobique	1	6	5	rubifié	1	1	2	3	0	pennée	3	0	1	10.5	0	0	1	22	2	selle	26.5	9.5	0	13	bande	1	1	10	3	14.33	15.5	B	1	solfege		
vt0028	Lumbricus.terrestris	Lumbricidae	Lumbricus	250	9	15000	cylindrique	tanylobique	1	7	5	rubifié	1	1	3	3	0	pennée	3	0	1	8.5	0	0	1	22.5	2	selle	32	6	1	13	gouttière	1	1	9	3	14.6	15.5	B	1	solfege		
vt0029	Lumbricus.friendi	Lumbricidae	Lumbricus	250	9	15000	cylindrique	tanylobique	1	7	5	rubifié	1	1	2	3	0	pennée	3	0	1	6.5	0	0	1	22.5	2	selle	33	5	1	13	gouttière	1	1	9	3	14.6	15.5	B	1	solfege		
vt0030	Lumbricus.centralis	Lumbricidae	Lumbricus	250	9	15000	cylindrique	tanylobique	1	7	5	rubifié	1	1	2	3	0	pennée	3	0	1	8.5	0	0	1	22.5	2	selle	33	6	1	13	linéaire	1	1	9	3	14.6	15.5	B	1	solfege		
vt0031	Lumbricus.festivus	Lumbricidae	Lumbricus	95	5	1200	cylindrique	tanylobique	1	7	5	rubifié	1	1	2	3	0	pennée	3	0	1	8.5	0	0	1	22.5	2	selle	34	6	1	13	gouttière	1	1	9	3	14.6	15.5	B	1	solfege		
vt0032	Lumbricus.castaneus	Lumbricidae	Lumbricus	60	2.5	350	cylindrique	tanylobique	1	7	5	rubifié	1	1	2	1	0	pennée	2.5	0	1	6.5	0	0	1	20	2	selle	28	6	0	13	gouttière	1	1	9	2	14.5	15.5	B	1	solfege		
vt0034	Lumbricus.rubellus	Lumbricidae	Lumbricus	130	2.5	2500	cylindrique	tanylobique	1	7	5	rubifié	1	1	2.5	1	0	pennée	2.5	0	1	6.5	0	0	1	20	2	selle	27	6	0	13	gouttière	1	1	9	2	14.5	15.5	B	1	solfege		
vt0036	Lumbricus.meliboeus	Lumbricidae	Lumbricus	90	5	900	cylindrique	tanylobique	1	7	5	rubifié	1	1	2	3	0	pennée	1.5	0	1	6.5	0	0	1	19	2	selle	29.5	4.5	1	13	bande	1	1	9	3	14.5	15.5	B	1	solfege		
vt0037	Scherotheca.dinoscolex	Lumbricidae	Scherotheca	800	15	48000	cylindrique	épilobique	1	6	5	mélanisé	1	1	3	3	0	intermédiaire	5	1	1	11.5	0	0	1	26	2	selle	28.5	21.5	1	13	bande	1	1	10	2	14.5	15.5	B	1	solfege		
vt0038	Scherotheca.aquitania	Lumbricidae	Scherotheca	320	8	14000	cylindrique	épilobique	1	6	5	mélanisé	1	1	2	3	0	pennée	3.8	1	1	10.5	0	0	1	25	2	selle	28	17	1	13	bande	1	2	9	1.5	14.5	15.5	B	1	solfege		
vt0039	Scherotheca.rhodana	Lumbricidae	Scherotheca	450	13	17000	cylindrique	épilobique	1	6	5	mélanisé	1	1	2	3	0	intermédiaire	5	1	1	11.5	0	0	1	26	2	selle	27.5	16	1	13	gouttière	1	1	9	2	17.55	15.5	B	1	solfege		
vt0040	Scherotheca.gigas	Lumbricidae	Scherotheca	300	8	9000	cylindrique.élargissement.puberculien	épilobique	1	6	5	mélanisé	1	1	3	3	0	pennée	5	1	1	12	0	0	1	26.5	2	selle	32.5	16.5	1	13	gouttière	1	1	9	1	14.5	15.5	B	1	solfege		
vt0041	Scherotheca.orbiensis	Lumbricidae	Scherotheca	400	10	14000	cylindrique	épilobique	1	6	5	mélanisé	1	1	2	3	0	intermédiaire	5	1	1	11.5	0	0	1	26.5	2	selle	37	15	0	13	gouttière	1	1	10	1	14.5	15.5	B	1	solfege		
vt0042	Scherotheca.dugesi	Lumbricidae	Scherotheca	350	12	16000	cylindrique	épilobique	1	7	5	mélanisé	1	1	2	3	1	intermédiaire	6	1	1	9.5	0	0	1	27	2	selle	27.5	13.5	1	13	gouttière	1	1	9	1	14.5	15.5	B	1	alignés		
vt0043	Scherotheca.porotheca	Lumbricidae	Scherotheca	350	12	16000	cylindrique	épilobique	1	7	5	mélanisé	1	1	2.5	3	1	pennée	6	1	1	12	0	0	1	27	2	selle	26.5	16.5	1	13	fusiforme	1	1	11	1	14.5	15.5	B	1	alignés		
vt0044	Scherotheca.sanaryensis	Lumbricidae	Scherotheca	35	12	16000	cylindrique	épilobique	1	7	5	mélanisé	1	1	2.5	3	1	pennée	6	1	1	9.5	0	0	1	27	2	selle	28	14	1	13	gouttière	1	1	9	1	14.5	15.5	B	1	alignés		
vt0045	Scherotheca.brevisella	Lumbricidae	Scherotheca	350	12	16000	cylindrique	épilobique	1	7	5	mélanisé	1	1	2	3	1	pennée	6	1	1	11.5	0	0	1	27	2	selle	27.5	11.5	1	13	linéaire	1	1	9	1	14.5	15.5	B	1	alignés		
vt0046	Scherotheca.corsicana	Lumbricidae	Scherotheca	140	7	3500	cylindrique	épilobique	1	6	5	mélanisé	1	1	3	1	0	pennée	4	1	1	9.5	0	0	1	25	2	selle	27.5	10	0	13	bande	1	1	12	3	14.5	15.5	B	1	solfege		
vt0047	Scherotheca.monspessulensis	Lumbricidae	Scherotheca	800	12	37000	cylindrique	épilobique	1	6	5	mélanisé	1	1	2	3	0	pennée	6	1	1	11.5	0	0	1	25.5	2	selle	36	2	1	13	gouttière	1	3	11	1	14.5	15.5	B	1	solfege		
vt0048	Scherotheca.savignyi	Lumbricidae	Scherotheca	520	10	17000	cylindrique	épilobique	1	6	5	mélanisé	1	1	3	3	0	pennée	3	1	1	10	0	0	1	26	2	selle	31	14	0	13	gouttière	1	1	13	3	14.5	15.5	B	1	solfege		
vt0049	Octodrilus.complanatus	Lumbricidae	Octodrilus	220	11	5200	cylindrique	épilobique	1	7	4	mélanisé	1	1	3	2	0	pennée	3	0	1	13.5	1	0	1	27.5	2	selle	29	9	1	13	gouttière	1	1	6	2	14.5	15.5	B	1	alignés		
vt0050	Kritodrilus.calarensis	Lumbricidae	Kritodrilus	70	6	490	cylindrique	épilobique	0	6	5	non	0	0	2	1	1	élémentaire	4	0	1	5.5	1	0	1	18	3	selle	28	8	0	13	gouttière	1	1	10	3	14.5	15.5	B	1	alignés		
vt0051	Prosellodrilus.fragilis	Lumbricidae	Prosellodrilus	110	3	550	cylindrique	prolobique	0	6	5	non	0	0	1	1	0	élémentaire	5	1	1	5.5	0	0	1	21	2	selle	20	9	0	13	gouttière	1	1	13	3	14.5	15.5	B	1	alignés		
vt0052	Prosellodrilus.pyrenaicus	Lumbricidae	Prosellodrilus	120	4	1800	cylindrique	épilobique	0	6	5	non	0	0	2	1	0	élémentaire	3	1	1	4.5	0	0	1	19	2	selle	20	8	0	13	gouttière	1	1	14	3	14.5	15.67	B	1	alignés		
vt0053	Prosellodrilus.praticola	Lumbricidae	Prosellodrilus	100	3	400	cylindrique	prolobique	0	6	5	non	0	0	1	1	0	élémentaire	3	1	1	6.5	0	0	1	19	2	selle	20	10.5	1	13	fusiforme	1	1	13	3	14.5	15.2	B	1	alignés		
vt0054	Prosellodrilus.amplisetosus	Lumbricidae	Prosellodrilus	60	2	180	cylindrique	prolobique	0	7	5	non	0	0	2	1	0	élémentaire	2	1	1	6.5	1	0	0.5	21	2	anneau	19	10	0	13	croissant	1	1	14	2	14.5	15	B	1	alignés		
vt0055	Aporrectodea.ligra	Lumbricidae	Aporrectodea	80	7	195	cylindrique	épilobique	0	6	6	non	1	0	2	1	1	élémentaire	5	1	1	8.5	0	0	1	22.5	2	selle	29.5	7.5	0	13	gouttière	1	1	10	3	14.5	15.5	B	1	solfege		
vt0056	Helodrilus.oculatus	Lumbricidae	Helodrilus	70	2	180	cylindrique	épilobique	0	7	5	mélanisé	0	0	3	1	0	pavimenteux	3.8	0	1	4.5	0	0	1	0	0.5	selle	22	12	1	13	ovale	1	1	10	2	14.5	15.5	B	1	alignés		
vt0057	Aporrectodea.graffi	Lumbricidae	Aporrectodea	135	3.5	1200	cylindrique	épilobique	0	6	5	non	0	0	2	1	0	pavimenteux	3	0	1	8.5	0	0	1	24	2	anneau.antérieurement.en.forme.selle.postérieurement	20	16	1	13	bandelette	1	3	9	2	14.5	15.5	B	1	alignés		
