file,Study_Name,Site_Name,OriginalSpeciesBinomial,SpeciesBinomial,MorphospeciesID,Genus,Family,Ecological_group,LifeStage,Native.Nonnative,Abundance,Abundance_Unit,WetBiomass,WetBiomassUnits
4562_Kone2012,Kone2012,Site 5,Agastrodrilus multivesiculatus,Agastrodrilus multivesiculatus,NA,Agastrodrilus,Acanthodrilidae,Endogeic,NA,Native,3.2,Individuals per m2,0.1216,g/m2
4562_Kone2012,Kone2012,Site 3,Agastrodrilus multivesiculatus,Agastrodrilus multivesiculatus,NA,Agastrodrilus,Acanthodrilidae,Endogeic,NA,Native,6.4,Individuals per m2,0.9,g/m2
4562_Kone2012,Kone2012,Site 11,Agastrodrilus multivesiculatus,Agastrodrilus multivesiculatus,NA,Agastrodrilus,Acanthodrilidae,Endogeic,NA,Native,9.6,Individuals per m2,1.0688,g/m2
4562_Kone2012,Kone2012,Site 2,Agastrodrilus multivesiculatus,Agastrodrilus multivesiculatus,NA,Agastrodrilus,Acanthodrilidae,Endogeic,NA,Native,3.2,Individuals per m2,5.8496,g/m2
000_Sokolova2008,Kostroma_Reg,Agrocenosis_1,Allobophora caliginosa,Aporrectodea caliginosa,NA,Aporrectodea,Lumbricidae,Endogeic,NA,NA,1.3,Individuals per m2,NA,NA
000_Sokolova2008,Kostroma_Reg,Agrocenosis_2,Allobophora caliginosa,Aporrectodea caliginosa,NA,Aporrectodea,Lumbricidae,Endogeic,NA,NA,0.14,Individuals per m2,NA,NA
335_Hopfensperger2015,Hopfensperger,Unglaciated_Site4,Allobophora chlorotica,Allolobophora chlorotica,NA,Allolobophora,Lumbricidae,Epi-Endogeic,Adult,Non-native,3.4,Individuals per m2,NA,NA
335_Hopfensperger2015,Hopfensperger,Glaciated_Site3,Allobophora chlorotica,Allolobophora chlorotica,NA,Allolobophora,Lumbricidae,Epi-Endogeic,Adult,Non-native,7.5,Individuals per m2,NA,NA
335_Hopfensperger2015,Hopfensperger,Glaciated_Site2,Allobophora chlorotica,Allolobophora chlorotica,NA,Allolobophora,Lumbricidae,Epi-Endogeic,Adult,Non-native,12.9,Individuals per m2,NA,NA
335_Hopfensperger2015,Hopfensperger,Unglaciated_Site5,Allobophora chlorotica,Allolobophora chlorotica,NA,Allolobophora,Lumbricidae,Epi-Endogeic,Adult,Non-native,4.1,Individuals per m2,NA,NA
7364_Kanianska2016,kanianska,DvornÃ­ky2,Allobophora chlorotica,Allolobophora chlorotica,NA,Allolobophora,Lumbricidae,Epi-Endogeic,NA,NA,1.17,Individuals per m2,NA,NA
7364_Kanianska2016,kanianska,Nacina Ves2,Allobophora chlorotica,Allolobophora chlorotica,NA,Allolobophora,Lumbricidae,Epi-Endogeic,NA,NA,3.5,Individuals per m2,NA,NA
000_Sokolova2008,Kostroma_Reg,Agrocenosis_1,Allobophora longa,Aporrectodea longa,NA,Aporrectodea,Lumbricidae,Anecic,NA,NA,2.27,Individuals per m2,NA,NA
000_Sokolova2008,Kostroma_Reg,Factory,Allobophora longa,Aporrectodea longa,NA,Aporrectodea,Lumbricidae,Anecic,NA,NA,1.36,Individuals per m2,NA,NA
000_KotanenUnpublished,Kotanen_unpub,20,Allolbophora chlorotica,Allolobophora chlorotica,NA,Allolobophora,Lumbricidae,Epi-Endogeic,Adult,Non-native,1,Number of individuals,NA,NA
000_KotanenUnpublished,Kotanen_unpub,2,Allolbophora chlorotica,Allolobophora chlorotica,NA,Allolobophora,Lumbricidae,Epi-Endogeic,Adult,Non-native,4,Number of individuals,NA,NA
1247_Rampazzo2001,Rampazzo,T1H,Allolobofora caliginosa,Aporrectodea caliginosa,NA,Aporrectodea,Lumbricidae,Endogeic,Adult,NA,64,Individuals per m2,NA,NA
1247_Rampazzo2001,Rampazzo,T2R,Allolobofora caliginosa,Aporrectodea caliginosa,NA,Aporrectodea,Lumbricidae,Endogeic,Adult,NA,10,Individuals per m2,NA,NA
1247_Rampazzo2001,Rampazzo,T2H,Allolobofora caliginosa,Aporrectodea caliginosa,NA,Aporrectodea,Lumbricidae,Endogeic,Adult,NA,2,Individuals per m2,NA,NA
1247_Rampazzo2001,Rampazzo,T1R,Allolobofora caliginosa,Aporrectodea caliginosa,NA,Aporrectodea,Lumbricidae,Endogeic,Adult,NA,40,Individuals per m2,NA,NA
1247_Rampazzo2001,Rampazzo,T2A,Allolobofora caliginosa,Aporrectodea caliginosa,NA,Aporrectodea,Lumbricidae,Endogeic,Adult,NA,10,Individuals per m2,NA,NA
1247_Rampazzo2001,Rampazzo,T1A,Allolobofora caliginosa,Aporrectodea caliginosa,NA,Aporrectodea,Lumbricidae,Endogeic,Adult,NA,14,Individuals per m2,NA,NA
1247_Rampazzo2001,Rampazzo,T1H,Allolobofora chlororica,Allolobophora chlorotica,NA,Allolobophora,Lumbricidae,Epi-Endogeic,Adult,NA,2,Individuals per m2,NA,NA
1247_Rampazzo2001,Rampazzo,T2A,Allolobofora rosea,Aporrectodea rosea,NA,Aporrectodea,Lumbricidae,Endogeic,Adult,NA,4,Individuals per m2,NA,NA
1247_Rampazzo2001,Rampazzo,T3A,Allolobofora rosea,Aporrectodea rosea,NA,Aporrectodea,Lumbricidae,Endogeic,Adult,NA,2,Individuals per m2,NA,NA
1247_Rampazzo2001,Rampazzo,T1H,Allolobofora rosea,Aporrectodea rosea,NA,Aporrectodea,Lumbricidae,Endogeic,Adult,NA,66,Individuals per m2,NA,NA
1247_Rampazzo2001,Rampazzo,T2H,Allolobofora rosea,Aporrectodea rosea,NA,Aporrectodea,Lumbricidae,Endogeic,Adult,NA,6,Individuals per m2,NA,NA
1247_Rampazzo2001,Rampazzo,T1R,Allolobofora rosea,Aporrectodea rosea,NA,Aporrectodea,Lumbricidae,Endogeic,Adult,NA,12,Individuals per m2,NA,NA
1247_Rampazzo2001,Rampazzo,T2R,Allolobofora rosea,Aporrectodea rosea,NA,Aporrectodea,Lumbricidae,Endogeic,Adult,NA,2,Individuals per m2,NA,NA
1247_Rampazzo2001,Rampazzo,T1A,Allolobofora rosea,Aporrectodea rosea,NA,Aporrectodea,Lumbricidae,Endogeic,Adult,NA,38,Individuals per m2,NA,NA
1247_Rampazzo2001,Rampazzo,T3R,Allolobofora rosea,Aporrectodea rosea,NA,Aporrectodea,Lumbricidae,Endogeic,Adult,NA,2,Individuals per m2,NA,NA
3601_Hackenberger2014,Hackenberger2014summer,L6b,Allolobophora (s.l.) altimontana,NA,NA,NA,NA,Endogeic,NA,NA,NA,NA,NA,NA
3601_Hackenberger2014,Hackenberger2014spring,L5a,Allolobophora (s.l.) altimontana,NA,NA,NA,NA,Endogeic,NA,NA,NA,NA,NA,NA
7088_Nair2005,Nair2005,El-Guarsha,Allolobophora caliginosa trapezoides,Aporrectodea trapezoides,NA,Aporrectodea,Lumbricidae,Anecic,NA,NA,NA,NA,NA,NA
