Lot;Date;t;ID;ID_cosm;Dose_EPX;Dose_IMD;Ratio;Line;Nb_rep;No_vdt;w;CiEPX;CiIMD;CeIMD;CeEPX;
D;26/03/2025;0;17;9;167,4801;0;E;5;1;1;696,40;;;0;127730,5;
E;01/04/2035;0;163;23;167,4801;0;E;5;3;1;424,50;;;0;125532;
D;26/03/2025;0;45;37;125,6101;0,1161;F;5;1;1;810,90;;;99,3;92474,9;
E;01/04/2035;0;189;51;125,6101;0,1161;F;5;3;1;719,30;;;99,9;112198;
D;26/03/2025;0;73;65;83,7401;0,2321;G;5;1;1;454,40;;;165,6;64413,5;
E;01/04/2035;0;217;81;83,7401;0,2321;G;5;3;1;367,40;;;146,4;67647,2;
D;26/03/2025;0;101;95;41,87;0,3482;H;5;1;1;585,70;;;336;35850,3;
E;01/04/2035;0;247;109;41,87;0,3482;H;5;3;1;423,80;;;340,6;36135,8;
D;26/03/2025;0;129;123;0;0,4643;I;5;1;1;633,60;;;422,8;0;
E;01/04/2035;0;273;137;0;0,4643;I;5;3;1;359,40;;;422,1;0;
D;26/03/2025;0;18;9;167,4801;0;E;5;1;2;682,10;;;0;127730,5;
E;01/04/2035;0;148;73;0,9418;0;E;1;3;2;618,80;;;0;167,48;No measured Ce for this specific earthworm 
D;26/03/2025;0;46;37;125,6101;0,1161;F;5;1;2;486,50;;;99,3;92474,9;
E;01/04/2035;0;190;51;125,6101;0,1161;F;5;3;2;532,90;;;99,9;112198;
D;26/03/2025;0;74;65;83,7401;0,2321;G;5;1;2;382,20;;;165,6;64413,5;
E;01/04/2035;0;218;81;83,7401;0,2321;G;5;3;2;296,70;;;146,4;67647,2;
D;26/03/2025;0;102;95;41,87;0,3482;H;5;1;2;648,20;;;336;35850,3;
E;01/04/2035;0;248;109;41,87;0,3482;H;5;3;2;753,00;;;340,6;36135,8;
D;26/03/2025;0;130;123;0;0,4643;I;5;1;2;415,70;;;422,8;0;
E;01/04/2035;0;274;137;0;0,4643;I;5;3;2;505,80;;;422,1;0;
D;23/04/2025;28;17;9;167,4801;0;E;5;1;1;817,00;;;;;
E;29/04/2035;28;163;23;167,4801;0;E;5;3;1;558,20;;;;;
D;23/04/2025;28;45;37;125,6101;0,1161;F;5;1;1;997,30;;;;;
E;29/04/2035;28;189;51;125,6101;0,1161;F;5;3;1;760,90;;;;;
D;23/04/2025;28;73;65;83,7401;0,2321;G;5;1;1;558,30;;;;;
E;29/04/2035;28;217;81;83,7401;0,2321;G;5;3;1;627,30;;;;;
D;23/04/2025;28;101;95;41,87;0,3482;H;5;1;1;694,00;;;;;
E;29/04/2035;28;247;109;41,87;0,3482;H;5;3;1;469,50;;;;;
D;23/04/2025;28;129;123;0;0,4643;I;5;1;1;554,00;;;;;
E;29/04/2035;28;273;137;0;0,4643;I;5;3;1;425,80;;;;;
D;23/04/2025;28;18;9;167,4801;0;E;5;1;2;771,40;;;;;
E;29/04/2035;28;148;73;0,9418;0;E;1;3;2;824,60;;;;;
D;23/04/2025;28;46;37;125,6101;0,1161;F;5;1;2;507,20;;;;;
E;29/04/2035;28;190;51;125,6101;0,1161;F;5;3;2;609,10;;;;;
D;23/04/2025;28;74;65;83,7401;0,2321;G;5;1;2;555,90;;;;;
E;29/04/2035;28;218;81;83,7401;0,2321;G;5;3;2;536,00;;;;;
D;23/04/2025;28;102;95;41,87;0,3482;H;5;1;2;774,40;;;;;
